date_created,problem_type,market,call_type,number_of_calls
1/1/22,type_3,market_2,repeat_call_4,0
1/1/22,type_3,market_2,repeat_call_5,0
1/1/22,type_3,market_2,repeat_call_6,0
1/1/22,type_3,market_2,repeat_call_7,0
1/1/22,type_4,market_2,initial_call,0
1/1/22,type_4,market_2,repeat_call_1,0
1/1/22,type_4,market_2,repeat_call_2,0
1/1/22,type_4,market_2,repeat_call_3,0
1/1/22,type_4,market_2,repeat_call_4,0
1/1/22,type_4,market_2,repeat_call_5,0
1/1/22,type_4,market_2,repeat_call_6,0
1/1/22,type_4,market_2,repeat_call_7,0
1/2/22,type_1,market_1,initial_call,39
1/2/22,type_1,market_1,repeat_call_1,2
1/2/22,type_1,market_1,repeat_call_2,2
1/2/22,type_1,market_1,repeat_call_3,2
1/2/22,type_1,market_1,repeat_call_4,0
1/2/22,type_1,market_1,repeat_call_5,2
1/2/22,type_1,market_1,repeat_call_6,2
1/2/22,type_1,market_1,repeat_call_7,2
1/2/22,type_2,market_1,initial_call,111
1/2/22,type_2,market_1,repeat_call_1,8
1/2/22,type_2,market_1,repeat_call_2,5
1/2/22,type_2,market_1,repeat_call_3,5
1/2/22,type_2,market_1,repeat_call_4,1
1/2/22,type_2,market_1,repeat_call_5,5
1/2/22,type_2,market_1,repeat_call_6,2
1/2/22,type_2,market_1,repeat_call_7,2
1/2/22,type_4,market_1,initial_call,1
1/2/22,type_4,market_1,repeat_call_1,0
1/2/22,type_4,market_1,repeat_call_2,0
1/2/22,type_4,market_1,repeat_call_3,0
1/2/22,type_4,market_1,repeat_call_4,0
1/2/22,type_4,market_1,repeat_call_5,0
1/2/22,type_4,market_1,repeat_call_6,0
1/2/22,type_4,market_1,repeat_call_7,0
1/2/22,type_3,market_1,initial_call,7
1/2/22,type_3,market_1,repeat_call_1,0
1/2/22,type_3,market_1,repeat_call_2,0
1/2/22,type_3,market_1,repeat_call_3,3
1/2/22,type_3,market_1,repeat_call_4,1
1/2/22,type_3,market_1,repeat_call_5,0
1/2/22,type_3,market_1,repeat_call_6,0
1/2/22,type_3,market_1,repeat_call_7,0
1/2/22,type_5,market_1,initial_call,141
1/2/22,type_5,market_1,repeat_call_1,17
1/2/22,type_5,market_1,repeat_call_2,8
1/2/22,type_5,market_1,repeat_call_3,14
1/2/22,type_5,market_1,repeat_call_4,6
1/2/22,type_5,market_1,repeat_call_5,3
1/2/22,type_5,market_1,repeat_call_6,0
1/2/22,type_5,market_1,repeat_call_7,4
1/2/22,type_1,market_3,initial_call,11
1/2/22,type_1,market_3,repeat_call_1,0
1/2/22,type_1,market_3,repeat_call_2,0
1/2/22,type_1,market_3,repeat_call_3,0
1/2/22,type_1,market_3,repeat_call_4,0
1/2/22,type_1,market_3,repeat_call_5,0
1/2/22,type_1,market_3,repeat_call_6,0
1/2/22,type_1,market_3,repeat_call_7,1
1/2/22,type_3,market_3,initial_call,2
1/2/22,type_3,market_3,repeat_call_1,0
1/2/22,type_3,market_3,repeat_call_2,0
1/2/22,type_3,market_3,repeat_call_3,0
1/2/22,type_3,market_3,repeat_call_4,0
1/2/22,type_3,market_3,repeat_call_5,0
1/2/22,type_3,market_3,repeat_call_6,0
1/2/22,type_3,market_3,repeat_call_7,0
1/2/22,type_2,market_3,initial_call,14
1/2/22,type_2,market_3,repeat_call_1,0
1/2/22,type_2,market_3,repeat_call_2,0
1/2/22,type_2,market_3,repeat_call_3,2
1/2/22,type_2,market_3,repeat_call_4,0
1/2/22,type_2,market_3,repeat_call_5,0
1/2/22,type_2,market_3,repeat_call_6,0
1/2/22,type_2,market_3,repeat_call_7,0
1/2/22,type_5,market_3,initial_call,32
1/2/22,type_5,market_3,repeat_call_1,1
1/2/22,type_5,market_3,repeat_call_2,0
1/2/22,type_5,market_3,repeat_call_3,7
1/2/22,type_5,market_3,repeat_call_4,2
1/2/22,type_5,market_3,repeat_call_5,0
1/2/22,type_5,market_3,repeat_call_6,0
1/2/22,type_5,market_3,repeat_call_7,0
1/2/22,type_4,market_3,initial_call,0
1/2/22,type_4,market_3,repeat_call_1,0
1/2/22,type_4,market_3,repeat_call_2,0
1/2/22,type_4,market_3,repeat_call_3,0
1/2/22,type_4,market_3,repeat_call_4,0
1/2/22,type_4,market_3,repeat_call_5,0
1/2/22,type_4,market_3,repeat_call_6,0
1/2/22,type_4,market_3,repeat_call_7,0
1/2/22,type_1,market_2,initial_call,4
1/2/22,type_1,market_2,repeat_call_1,0
1/2/22,type_1,market_2,repeat_call_2,0
1/2/22,type_1,market_2,repeat_call_3,1
1/2/22,type_1,market_2,repeat_call_4,0
1/2/22,type_1,market_2,repeat_call_5,0
1/2/22,type_1,market_2,repeat_call_6,0
1/2/22,type_1,market_2,repeat_call_7,0
1/2/22,type_2,market_2,initial_call,12
1/2/22,type_2,market_2,repeat_call_1,1
1/2/22,type_2,market_2,repeat_call_2,2
1/2/22,type_2,market_2,repeat_call_3,1
1/2/22,type_2,market_2,repeat_call_4,3
1/2/22,type_2,market_2,repeat_call_5,0
1/2/22,type_2,market_2,repeat_call_6,0
1/2/22,type_2,market_2,repeat_call_7,0
1/2/22,type_5,market_2,initial_call,22
1/2/22,type_5,market_2,repeat_call_1,2
1/2/22,type_5,market_2,repeat_call_2,1
1/2/22,type_5,market_2,repeat_call_3,2
1/2/22,type_5,market_2,repeat_call_4,0
1/2/22,type_5,market_2,repeat_call_5,0
1/2/22,type_5,market_2,repeat_call_6,0
1/2/22,type_5,market_2,repeat_call_7,0
1/2/22,type_3,market_2,initial_call,0
1/2/22,type_3,market_2,repeat_call_1,0
1/2/22,type_3,market_2,repeat_call_2,0
1/2/22,type_3,market_2,repeat_call_3,0
1/2/22,type_3,market_2,repeat_call_4,0
1/2/22,type_3,market_2,repeat_call_5,0
1/2/22,type_3,market_2,repeat_call_6,0
1/2/22,type_3,market_2,repeat_call_7,0
1/2/22,type_4,market_2,initial_call,0
1/2/22,type_4,market_2,repeat_call_1,0
1/2/22,type_4,market_2,repeat_call_2,0
1/2/22,type_4,market_2,repeat_call_3,0
1/2/22,type_4,market_2,repeat_call_4,0
1/2/22,type_4,market_2,repeat_call_5,0
1/2/22,type_4,market_2,repeat_call_6,0
1/2/22,type_4,market_2,repeat_call_7,0
1/3/22,type_1,market_1,initial_call,55
1/3/22,type_1,market_1,repeat_call_1,3
1/3/22,type_1,market_1,repeat_call_2,6
1/3/22,type_1,market_1,repeat_call_3,0
1/3/22,type_1,market_1,repeat_call_4,5
1/3/22,type_1,market_1,repeat_call_5,2
1/3/22,type_1,market_1,repeat_call_6,4
1/3/22,type_1,market_1,repeat_call_7,4
1/3/22,type_5,market_1,initial_call,259
1/3/22,type_5,market_1,repeat_call_1,25
1/3/22,type_5,market_1,repeat_call_2,16
1/3/22,type_5,market_1,repeat_call_3,11
1/3/22,type_5,market_1,repeat_call_4,6
1/3/22,type_5,market_1,repeat_call_5,8
1/3/22,type_5,market_1,repeat_call_6,4
1/3/22,type_5,market_1,repeat_call_7,11
1/3/22,type_2,market_1,initial_call,395
1/3/22,type_2,market_1,repeat_call_1,18
1/3/22,type_2,market_1,repeat_call_2,23
1/3/22,type_2,market_1,repeat_call_3,9
1/3/22,type_2,market_1,repeat_call_4,7
1/3/22,type_2,market_1,repeat_call_5,6
1/3/22,type_2,market_1,repeat_call_6,7
1/3/22,type_2,market_1,repeat_call_7,9
1/3/22,type_4,market_1,initial_call,6
1/3/22,type_4,market_1,repeat_call_1,0
1/3/22,type_4,market_1,repeat_call_2,1
1/3/22,type_4,market_1,repeat_call_3,0
1/3/22,type_4,market_1,repeat_call_4,0
1/3/22,type_4,market_1,repeat_call_5,0
1/3/22,type_4,market_1,repeat_call_6,0
1/3/22,type_4,market_1,repeat_call_7,0
1/3/22,type_3,market_1,initial_call,18
1/3/22,type_3,market_1,repeat_call_1,1
1/3/22,type_3,market_1,repeat_call_2,2
1/3/22,type_3,market_1,repeat_call_3,1
1/3/22,type_3,market_1,repeat_call_4,0
1/3/22,type_3,market_1,repeat_call_5,1
1/3/22,type_3,market_1,repeat_call_6,0
1/3/22,type_3,market_1,repeat_call_7,0
1/3/22,type_1,market_3,initial_call,15
1/3/22,type_1,market_3,repeat_call_1,0
1/3/22,type_1,market_3,repeat_call_2,0
1/3/22,type_1,market_3,repeat_call_3,2
1/3/22,type_1,market_3,repeat_call_4,1
1/3/22,type_1,market_3,repeat_call_5,0
1/3/22,type_1,market_3,repeat_call_6,0
1/3/22,type_1,market_3,repeat_call_7,0
1/3/22,type_5,market_3,initial_call,62
1/3/22,type_5,market_3,repeat_call_1,7
1/3/22,type_5,market_3,repeat_call_2,6
1/3/22,type_5,market_3,repeat_call_3,8
1/3/22,type_5,market_3,repeat_call_4,5
1/3/22,type_5,market_3,repeat_call_5,4
1/3/22,type_5,market_3,repeat_call_6,0
1/3/22,type_5,market_3,repeat_call_7,1
1/3/22,type_4,market_3,initial_call,1
1/3/22,type_4,market_3,repeat_call_1,0
1/3/22,type_4,market_3,repeat_call_2,0
1/3/22,type_4,market_3,repeat_call_3,0
1/3/22,type_4,market_3,repeat_call_4,0
1/3/22,type_4,market_3,repeat_call_5,0
1/3/22,type_4,market_3,repeat_call_6,0
1/3/22,type_4,market_3,repeat_call_7,0
1/3/22,type_3,market_3,initial_call,10
1/3/22,type_3,market_3,repeat_call_1,2
1/3/22,type_3,market_3,repeat_call_2,2
1/3/22,type_3,market_3,repeat_call_3,0
1/3/22,type_3,market_3,repeat_call_4,0
1/3/22,type_3,market_3,repeat_call_5,0
1/3/22,type_3,market_3,repeat_call_6,1
1/3/22,type_3,market_3,repeat_call_7,0
1/3/22,type_2,market_3,initial_call,46
1/3/22,type_2,market_3,repeat_call_1,1
1/3/22,type_2,market_3,repeat_call_2,3
1/3/22,type_2,market_3,repeat_call_3,2
1/3/22,type_2,market_3,repeat_call_4,0
1/3/22,type_2,market_3,repeat_call_5,0
1/3/22,type_2,market_3,repeat_call_6,0
1/3/22,type_2,market_3,repeat_call_7,0
1/3/22,type_4,market_2,initial_call,1
1/3/22,type_4,market_2,repeat_call_1,0
1/3/22,type_4,market_2,repeat_call_2,0
1/3/22,type_4,market_2,repeat_call_3,0
1/3/22,type_4,market_2,repeat_call_4,0
1/3/22,type_4,market_2,repeat_call_5,0
1/3/22,type_4,market_2,repeat_call_6,0
1/3/22,type_4,market_2,repeat_call_7,0
1/3/22,type_3,market_2,initial_call,5
1/3/22,type_3,market_2,repeat_call_1,0
1/3/22,type_3,market_2,repeat_call_2,0
1/3/22,type_3,market_2,repeat_call_3,0
1/3/22,type_3,market_2,repeat_call_4,0
1/3/22,type_3,market_2,repeat_call_5,0
1/3/22,type_3,market_2,repeat_call_6,0
1/3/22,type_3,market_2,repeat_call_7,0
1/3/22,type_1,market_2,initial_call,12
1/3/22,type_1,market_2,repeat_call_1,0
1/3/22,type_1,market_2,repeat_call_2,0
1/3/22,type_1,market_2,repeat_call_3,1
1/3/22,type_1,market_2,repeat_call_4,0
1/3/22,type_1,market_2,repeat_call_5,0
1/3/22,type_1,market_2,repeat_call_6,0
1/3/22,type_1,market_2,repeat_call_7,0
1/3/22,type_5,market_2,initial_call,32
1/3/22,type_5,market_2,repeat_call_1,2
1/3/22,type_5,market_2,repeat_call_2,0
1/3/22,type_5,market_2,repeat_call_3,1
1/3/22,type_5,market_2,repeat_call_4,4
1/3/22,type_5,market_2,repeat_call_5,0
1/3/22,type_5,market_2,repeat_call_6,0
1/3/22,type_5,market_2,repeat_call_7,1
1/3/22,type_2,market_2,initial_call,66
1/3/22,type_2,market_2,repeat_call_1,3
1/3/22,type_2,market_2,repeat_call_2,3
1/3/22,type_2,market_2,repeat_call_3,4
1/3/22,type_2,market_2,repeat_call_4,6
1/3/22,type_2,market_2,repeat_call_5,2
1/3/22,type_2,market_2,repeat_call_6,1
1/3/22,type_2,market_2,repeat_call_7,2
1/4/22,type_3,market_1,initial_call,15
1/4/22,type_3,market_1,repeat_call_1,2
1/4/22,type_3,market_1,repeat_call_2,3
1/4/22,type_3,market_1,repeat_call_3,1
1/4/22,type_3,market_1,repeat_call_4,0
1/4/22,type_3,market_1,repeat_call_5,0
1/4/22,type_3,market_1,repeat_call_6,1
1/4/22,type_3,market_1,repeat_call_7,2
1/4/22,type_1,market_1,initial_call,44
1/4/22,type_1,market_1,repeat_call_1,4
1/4/22,type_1,market_1,repeat_call_2,4
1/4/22,type_1,market_1,repeat_call_3,3
1/4/22,type_1,market_1,repeat_call_4,0
1/4/22,type_1,market_1,repeat_call_5,1
1/4/22,type_1,market_1,repeat_call_6,3
1/4/22,type_1,market_1,repeat_call_7,2
1/4/22,type_5,market_1,initial_call,207
1/4/22,type_5,market_1,repeat_call_1,27
1/4/22,type_5,market_1,repeat_call_2,10
1/4/22,type_5,market_1,repeat_call_3,12
1/4/22,type_5,market_1,repeat_call_4,18
1/4/22,type_5,market_1,repeat_call_5,13
1/4/22,type_5,market_1,repeat_call_6,5
1/4/22,type_5,market_1,repeat_call_7,8
1/4/22,type_2,market_1,initial_call,343
1/4/22,type_2,market_1,repeat_call_1,19
1/4/22,type_2,market_1,repeat_call_2,10
1/4/22,type_2,market_1,repeat_call_3,10
1/4/22,type_2,market_1,repeat_call_4,6
1/4/22,type_2,market_1,repeat_call_5,0
1/4/22,type_2,market_1,repeat_call_6,13
1/4/22,type_2,market_1,repeat_call_7,10
1/4/22,type_4,market_1,initial_call,4
1/4/22,type_4,market_1,repeat_call_1,1
1/4/22,type_4,market_1,repeat_call_2,0
1/4/22,type_4,market_1,repeat_call_3,1
1/4/22,type_4,market_1,repeat_call_4,0
1/4/22,type_4,market_1,repeat_call_5,0
1/4/22,type_4,market_1,repeat_call_6,0
1/4/22,type_4,market_1,repeat_call_7,0
1/4/22,type_1,market_3,initial_call,7
1/4/22,type_1,market_3,repeat_call_1,0
1/4/22,type_1,market_3,repeat_call_2,4
1/4/22,type_1,market_3,repeat_call_3,0
1/4/22,type_1,market_3,repeat_call_4,0
1/4/22,type_1,market_3,repeat_call_5,0
1/4/22,type_1,market_3,repeat_call_6,0
1/4/22,type_1,market_3,repeat_call_7,0
1/4/22,type_5,market_3,initial_call,60
1/4/22,type_5,market_3,repeat_call_1,4
1/4/22,type_5,market_3,repeat_call_2,11
1/4/22,type_5,market_3,repeat_call_3,6
1/4/22,type_5,market_3,repeat_call_4,2
1/4/22,type_5,market_3,repeat_call_5,1
1/4/22,type_5,market_3,repeat_call_6,1
1/4/22,type_5,market_3,repeat_call_7,2
1/4/22,type_4,market_3,initial_call,1
1/4/22,type_4,market_3,repeat_call_1,0
1/4/22,type_4,market_3,repeat_call_2,0
1/4/22,type_4,market_3,repeat_call_3,0
1/4/22,type_4,market_3,repeat_call_4,0
1/4/22,type_4,market_3,repeat_call_5,0
1/4/22,type_4,market_3,repeat_call_6,0
1/4/22,type_4,market_3,repeat_call_7,0
1/4/22,type_3,market_3,initial_call,8
1/4/22,type_3,market_3,repeat_call_1,3
1/4/22,type_3,market_3,repeat_call_2,3
1/4/22,type_3,market_3,repeat_call_3,0
1/4/22,type_3,market_3,repeat_call_4,0
1/4/22,type_3,market_3,repeat_call_5,0
1/4/22,type_3,market_3,repeat_call_6,0
1/4/22,type_3,market_3,repeat_call_7,1
1/4/22,type_2,market_3,initial_call,28
1/4/22,type_2,market_3,repeat_call_1,1
1/4/22,type_2,market_3,repeat_call_2,0
1/4/22,type_2,market_3,repeat_call_3,0
1/4/22,type_2,market_3,repeat_call_4,0
1/4/22,type_2,market_3,repeat_call_5,0
1/4/22,type_2,market_3,repeat_call_6,1
1/4/22,type_2,market_3,repeat_call_7,2
1/4/22,type_1,market_2,initial_call,8
1/4/22,type_1,market_2,repeat_call_1,1
1/4/22,type_1,market_2,repeat_call_2,1
1/4/22,type_1,market_2,repeat_call_3,0
1/4/22,type_1,market_2,repeat_call_4,0
1/4/22,type_1,market_2,repeat_call_5,0
1/4/22,type_1,market_2,repeat_call_6,0
1/4/22,type_1,market_2,repeat_call_7,0
1/4/22,type_5,market_2,initial_call,33
1/4/22,type_5,market_2,repeat_call_1,3
1/4/22,type_5,market_2,repeat_call_2,0
1/4/22,type_5,market_2,repeat_call_3,1
1/4/22,type_5,market_2,repeat_call_4,0
1/4/22,type_5,market_2,repeat_call_5,0
1/4/22,type_5,market_2,repeat_call_6,0
1/4/22,type_5,market_2,repeat_call_7,0
1/4/22,type_2,market_2,initial_call,48
1/4/22,type_2,market_2,repeat_call_1,7
1/4/22,type_2,market_2,repeat_call_2,4
1/4/22,type_2,market_2,repeat_call_3,2
1/4/22,type_2,market_2,repeat_call_4,0
1/4/22,type_2,market_2,repeat_call_5,0
1/4/22,type_2,market_2,repeat_call_6,1
1/4/22,type_2,market_2,repeat_call_7,2
1/4/22,type_3,market_2,initial_call,0
1/4/22,type_3,market_2,repeat_call_1,0
1/4/22,type_3,market_2,repeat_call_2,0
1/4/22,type_3,market_2,repeat_call_3,0
1/4/22,type_3,market_2,repeat_call_4,0
1/4/22,type_3,market_2,repeat_call_5,0
1/4/22,type_3,market_2,repeat_call_6,0
1/4/22,type_3,market_2,repeat_call_7,0
1/4/22,type_4,market_2,initial_call,0
1/4/22,type_4,market_2,repeat_call_1,1
1/4/22,type_4,market_2,repeat_call_2,0
1/4/22,type_4,market_2,repeat_call_3,0
1/4/22,type_4,market_2,repeat_call_4,0
1/4/22,type_4,market_2,repeat_call_5,0
1/4/22,type_4,market_2,repeat_call_6,0
1/4/22,type_4,market_2,repeat_call_7,0
1/5/22,type_1,market_1,initial_call,52
1/5/22,type_1,market_1,repeat_call_1,3
1/5/22,type_1,market_1,repeat_call_2,1
1/5/22,type_1,market_1,repeat_call_3,1
1/5/22,type_1,market_1,repeat_call_4,6
1/5/22,type_1,market_1,repeat_call_5,3
1/5/22,type_1,market_1,repeat_call_6,0
1/5/22,type_1,market_1,repeat_call_7,2
1/5/22,type_3,market_1,initial_call,17
1/5/22,type_3,market_1,repeat_call_1,3
1/5/22,type_3,market_1,repeat_call_2,1
1/5/22,type_3,market_1,repeat_call_3,0
1/5/22,type_3,market_1,repeat_call_4,1
1/5/22,type_3,market_1,repeat_call_5,0
1/5/22,type_3,market_1,repeat_call_6,1
1/5/22,type_3,market_1,repeat_call_7,0
1/5/22,type_2,market_1,initial_call,280
1/5/22,type_2,market_1,repeat_call_1,5
1/5/22,type_2,market_1,repeat_call_2,9
1/5/22,type_2,market_1,repeat_call_3,2
1/5/22,type_2,market_1,repeat_call_4,6
1/5/22,type_2,market_1,repeat_call_5,7
1/5/22,type_2,market_1,repeat_call_6,3
1/5/22,type_2,market_1,repeat_call_7,7
1/5/22,type_5,market_1,initial_call,210
1/5/22,type_5,market_1,repeat_call_1,26
1/5/22,type_5,market_1,repeat_call_2,18
1/5/22,type_5,market_1,repeat_call_3,9
1/5/22,type_5,market_1,repeat_call_4,8
1/5/22,type_5,market_1,repeat_call_5,17
1/5/22,type_5,market_1,repeat_call_6,7
1/5/22,type_5,market_1,repeat_call_7,5
1/5/22,type_4,market_1,initial_call,4
1/5/22,type_4,market_1,repeat_call_1,0
1/5/22,type_4,market_1,repeat_call_2,0
1/5/22,type_4,market_1,repeat_call_3,0
1/5/22,type_4,market_1,repeat_call_4,0
1/5/22,type_4,market_1,repeat_call_5,0
1/5/22,type_4,market_1,repeat_call_6,0
1/5/22,type_4,market_1,repeat_call_7,0
1/5/22,type_1,market_3,initial_call,12
1/5/22,type_1,market_3,repeat_call_1,3
1/5/22,type_1,market_3,repeat_call_2,0
1/5/22,type_1,market_3,repeat_call_3,1
1/5/22,type_1,market_3,repeat_call_4,0
1/5/22,type_1,market_3,repeat_call_5,1
1/5/22,type_1,market_3,repeat_call_6,0
1/5/22,type_1,market_3,repeat_call_7,0
1/5/22,type_3,market_3,initial_call,25
1/5/22,type_3,market_3,repeat_call_1,1
1/5/22,type_3,market_3,repeat_call_2,2
1/5/22,type_3,market_3,repeat_call_3,0
1/5/22,type_3,market_3,repeat_call_4,0
1/5/22,type_3,market_3,repeat_call_5,1
1/5/22,type_3,market_3,repeat_call_6,1
1/5/22,type_3,market_3,repeat_call_7,1
1/5/22,type_5,market_3,initial_call,131
1/5/22,type_5,market_3,repeat_call_1,25
1/5/22,type_5,market_3,repeat_call_2,3
1/5/22,type_5,market_3,repeat_call_3,1
1/5/22,type_5,market_3,repeat_call_4,0
1/5/22,type_5,market_3,repeat_call_5,3
1/5/22,type_5,market_3,repeat_call_6,3
1/5/22,type_5,market_3,repeat_call_7,2
1/5/22,type_4,market_3,initial_call,1
1/5/22,type_4,market_3,repeat_call_1,0
1/5/22,type_4,market_3,repeat_call_2,0
1/5/22,type_4,market_3,repeat_call_3,0
1/5/22,type_4,market_3,repeat_call_4,0
1/5/22,type_4,market_3,repeat_call_5,0
1/5/22,type_4,market_3,repeat_call_6,0
1/5/22,type_4,market_3,repeat_call_7,0
1/5/22,type_2,market_3,initial_call,32
1/5/22,type_2,market_3,repeat_call_1,1
1/5/22,type_2,market_3,repeat_call_2,0
1/5/22,type_2,market_3,repeat_call_3,1
1/5/22,type_2,market_3,repeat_call_4,0
1/5/22,type_2,market_3,repeat_call_5,0
1/5/22,type_2,market_3,repeat_call_6,0
1/5/22,type_2,market_3,repeat_call_7,0
1/5/22,type_4,market_2,initial_call,1
1/5/22,type_4,market_2,repeat_call_1,0
1/5/22,type_4,market_2,repeat_call_2,0
1/5/22,type_4,market_2,repeat_call_3,0
1/5/22,type_4,market_2,repeat_call_4,0
1/5/22,type_4,market_2,repeat_call_5,0
1/5/22,type_4,market_2,repeat_call_6,0
1/5/22,type_4,market_2,repeat_call_7,0
1/5/22,type_1,market_2,initial_call,11
1/5/22,type_1,market_2,repeat_call_1,2
1/5/22,type_1,market_2,repeat_call_2,0
1/5/22,type_1,market_2,repeat_call_3,0
1/5/22,type_1,market_2,repeat_call_4,0
1/5/22,type_1,market_2,repeat_call_5,0
1/5/22,type_1,market_2,repeat_call_6,0
1/5/22,type_1,market_2,repeat_call_7,0
1/5/22,type_5,market_2,initial_call,29
1/5/22,type_5,market_2,repeat_call_1,2
1/5/22,type_5,market_2,repeat_call_2,3
1/5/22,type_5,market_2,repeat_call_3,0
1/5/22,type_5,market_2,repeat_call_4,0
1/5/22,type_5,market_2,repeat_call_5,0
1/5/22,type_5,market_2,repeat_call_6,0
1/5/22,type_5,market_2,repeat_call_7,0
1/5/22,type_2,market_2,initial_call,39
1/5/22,type_2,market_2,repeat_call_1,3
1/5/22,type_2,market_2,repeat_call_2,1
1/5/22,type_2,market_2,repeat_call_3,0
1/5/22,type_2,market_2,repeat_call_4,0
1/5/22,type_2,market_2,repeat_call_5,0
